file,status,reason,elapsed_sec,out_path,out_size
zz-scripts/_common/cli.py,OK,,0.03,zz-out/pass14_run/zz-scripts/_common/cli.out,0
zz-scripts/_common/postparse.py,OK,,0.02,zz-out/pass14_run/zz-scripts/_common/postparse.out,0
zz-scripts/_common/style.py,OK,,0.18,zz-out/pass14_run/zz-scripts/_common/style.out,0
zz-scripts/chapter01/generate_data_chapter01.py,FAIL,NameError: name 'path' is not defined,0.66,zz-out/pass14_run/zz-scripts/chapter01/generate_data_chapter01.out,0
zz-scripts/chapter01/plot_fig01_early_plateau.py,OK,,1.29,zz-out/pass14_run/zz-scripts/chapter01/plot_fig01_early_plateau.out,0
zz-scripts/chapter01/plot_fig02_logistic_calibration.py,FAIL,argparse.ArgumentError: argument --dpi: conflicting option string: --dpi,1.28,zz-out/pass14_run/zz-scripts/chapter01/plot_fig02_logistic_calibration.out,0
zz-scripts/chapter01/plot_fig03_relative_error_timeline.py,FAIL,argparse.ArgumentError: argument --dpi: conflicting option string: --dpi,1.09,zz-out/pass14_run/zz-scripts/chapter01/plot_fig03_relative_error_timeline.out,0
zz-scripts/chapter01/plot_fig04_P_vs_T_evolution.py,FAIL,KeyError: 'T',0.61,zz-out/pass14_run/zz-scripts/chapter01/plot_fig04_P_vs_T_evolution.out,0
zz-scripts/chapter01/plot_fig05_I1_vs_T.py,FAIL,argparse.ArgumentError: argument --dpi: conflicting option string: --dpi,1.08,zz-out/pass14_run/zz-scripts/chapter01/plot_fig05_I1_vs_T.out,0
zz-scripts/chapter01/plot_fig06_P_derivative_comparison.py,FAIL,KeyError: 'T',0.54,zz-out/pass14_run/zz-scripts/chapter01/plot_fig06_P_derivative_comparison.out,0
zz-scripts/chapter02/generate_data_chapter02.py,FAIL,NameError: name 'a0' is not defined,0.69,zz-out/pass14_run/zz-scripts/chapter02/generate_data_chapter02.out,0
zz-scripts/chapter02/plot_fig00_spectrum.py,FAIL,IndentationError: expected an indented block after function definition on line 82,0.02,zz-out/pass14_run/zz-scripts/chapter02/plot_fig00_spectrum.out,0
zz-scripts/chapter02/plot_fig01_P_vs_T_evolution.py,FAIL,TypeError: scatter() missing 2 required positional arguments: 'x' and 'y',0.73,zz-out/pass14_run/zz-scripts/chapter02/plot_fig01_P_vs_T_evolution.out,0
zz-scripts/chapter02/plot_fig02_calibration.py,FAIL,argparse.ArgumentError: argument --dpi: conflicting option string: --dpi,0.91,zz-out/pass14_run/zz-scripts/chapter02/plot_fig02_calibration.out,0
zz-scripts/chapter02/plot_fig03_relative_errors.py,FAIL,TypeError: scatter() missing 2 required positional arguments: 'x' and 'y',0.92,zz-out/pass14_run/zz-scripts/chapter02/plot_fig03_relative_errors.out,0
