z,delta_lcdm,delta_k0,delta_ratio_k0_over_lcdm,delta_boost_pct,f_lcdm,f_k0,f_ratio_k0_over_lcdm,f_boost_pct
0.000000000000000000e+00,3.903920500065694910e+01,2.749948290964795916e+01,7.044068369011408093e-01,-2.955931630988591863e+01,5.297498038588546176e-01,4.789586632727527715e-01,9.041223985056263679e-01,-9.587760149437363211e+00
1.005025125628140753e-01,3.693583465160565282e+01,2.613152341623953490e+01,7.074843079281426528e-01,-2.925156920718573517e+01,5.873289174517420941e-01,5.243164493613283739e-01,8.927134928690257931e-01,-1.072865071309742113e+01
2.010050251256281506e-01,3.526491165493837343e+01,2.506035481020454014e+01,7.106314360125491891e-01,-2.893685639874508198e+01,6.393493553794047379e-01,5.784036974397811504e-01,9.046754995108159392e-01,-9.532450048918406083e+00
3.015075376884422398e-01,3.379512894900344833e+01,2.411410556758018586e+01,7.135379067192836322e-01,-2.864620932807163811e+01,6.855938160093237865e-01,6.370706005031745445e-01,9.292245432017004481e-01,-7.077545679829954750e+00
4.020100502512563012e-01,3.248936166076780552e+01,2.327013832652416880e+01,7.162387051335571408e-01,-2.837612948664428458e+01,7.261933587114259847e-01,6.963137264740932864e-01,9.588544402411613987e-01,-4.114555975883860128e+00
5.025125628140704181e-01,3.131939677895559271e+01,2.251118140405216295e+01,7.187616531356081362e-01,-2.812383468643918505e+01,7.615102360165517670e-01,7.525570708542868026e-01,9.882428827101539248e-01,-1.175711728984607518e+00
6.030150753768844796e-01,3.026336230764889379e+01,2.182379565363077489e+01,7.211292463730949454e-01,-2.788707536269050635e+01,7.920358430350422640e-01,8.030928545974179711e-01,1.013960241395144068e+00,1.396024139514406848e+00
7.035175879396985410e-01,2.930400764651883350e+01,2.119734511714284508e+01,7.233599367307352868e-01,-2.766400632692647221e+01,8.183131646365050527e-01,8.463660069536809161e-01,1.034281303942649943e+00,3.428130394264994329e+00
8.040201005025126024e-01,2.842752115550767300e+01,2.062328676573826058e+01,7.254690499717599828e-01,-2.745309500282399995e+01,8.408842125850088944e-01,8.819532690851863421e-01,1.048840322942828029e+00,4.884032294282802944e+00
9.045226130653266639e-01,2.762269732952939094e+01,2.009466861465612908e+01,7.274694565463163398e-01,-2.725305434536836557e+01,8.602583434978587906e-01,9.102911880138244705e-01,1.058160254874749961e+00,5.816025487474996147e+00
1.005025125628140836e+00,2.688033770797640898e+01,1.960576759065547847e+01,7.293720712756412983e-01,-2.706279287243587106e+01,8.768959647510168320e-01,9.323127179787445984e-01,1.063196497025120424e+00,6.319649702512042388e+00
1.105527638190954898e+00,2.619281179466114295e+01,1.915182335696075100e+01,7.311862318219859436e-01,-2.688137681780140653e+01,8.912025344510486891e-01,9.491304683585108926e-01,1.064999740988330945e+00,6.499974098833094516e+00
1.206030150753768959e+00,2.555372984500328570e+01,1.872883941334188762e+01,7.329199896430805827e-01,-2.670800103569194306e+01,9.035288547589883645e-01,9.618265766879489087e-01,1.064522258057282622e+00,6.452225805728262209e+00
1.306532663316583021e+00,2.495769534579578774e+01,1.833343224971644503e+01,7.345803366737857498e-01,-2.654196633262142413e+01,9.141748267721933052e-01,9.713455877704411101e-01,1.062538104664409344e+00,6.253810466440934412e+00
1.407035175879397082e+00,2.440011523428495011e+01,1.796271540383010645e+01,7.361733840744505430e-01,-2.638266159255494614e+01,9.233948137599459205e-01,9.784596484495790003e-01,1.059633034395564888e+00,5.963303439556488783e+00
1.507537688442211143e+00,2.387705259502406818e+01,1.761420925906653423e+01,7.377045047317649651e-01,-2.622954952682350438e+01,9.314034825229517978e-01,9.837742325881181360e-01,1.056227779955585255e+00,5.622777995558525532e+00
1.608040201005025205e+00,2.338511104384875239e+01,1.728577008771844348e+01,7.391784480007980163e-01,-2.608215519992019793e+01,9.383814851890722730e-01,9.877516094536776814e-01,1.052611997405999533e+00,5.261199740599953323e+00
1.708542713567839266e+00,2.292134305102178971e+01,1.697553366586858203e+01,7.405994329425581446e-01,-2.594005670574418687e+01,9.444806591974201915e-01,9.907388267351653344e-01,1.048977358178041941e+00,4.897735817804194092e+00
1.809045226130653328e+00,2.248317656143349197e+01,1.668187004900238790e+01,7.419712247253187343e-01,-2.580287752746812657e+01,9.498286143511109891e-01,9.929938197484800000e-01,1.045445256907592713e+00,4.544525690759271264e+00
